Datetime,Text,TweetID,username,geo
2020-02-29 15:19:01+00:00,"Indonesian govt spends 72 billion rupiah to hire influencers to boost Indonesian tourism since the outbreak, it got me thinking why don’t allocate the money for disinfectant, surgical mask, healthcare, meds instead of stupid influencers? Just defer traveling for a while #covid19",1233773675825917953,solomusafir,
2020-02-29 08:46:17+00:00,"I am just returning from a week in Singapore. Will miss taking temperature as I enter and leave the building. Singapore MOH recommend temp checks twice a day, minimise touching each other, regular hand washing & sanitisers, avoid large groups of people mask if symptoms ",1233674843117109249,JBVISTA,
2020-02-29 07:49:44+00:00,Fek it mask on 😷!,1233660611088670720,YourFlighness,
2020-02-29 07:43:37+00:00,iba protocol. dito sg kapag may sakit ka dun ka dapat. mg. mask.. and halos one week. na din no reported cases and dami. na na discharge.. galing ng pag handle nila dito..,1233659071116369925,ellucid1,
2020-02-29 03:33:57+00:00,Mask up – at The American Club,1233596242539638784,wce917,
2020-02-28 20:50:41+00:00,"REPOST - MASK ON Hey Siri, please reset my face id with the one with mask on. | 2020- Weird Start | . . @aryanaroraart #aryanaroraart #aryanarora @Johar Barhu Malaysia https://www.instagram.com/p/B8GU7joneVN/?igshid=3xcx1rvh311x",1233494755092451337,AryanAroraArt,
2020-02-28 10:28:18+00:00,"Oh definitely. DORSCON Code orange and all that. Was definitely quite a scare for some as they actually bought out some supermarkets to stock up. Decrease in overall outdoor activity due to fear as well. Also a massive surge in mask usage, temperature taking and stuff.",1233338126803722241,Zikrayrus,
2020-02-28 09:20:20+00:00,Watching people try to eat something with a mask on and it falling around. Just priceless.,1233321021396025349,SrnddByStpdty,
2020-02-28 08:18:05+00:00,Maybe I should buy a face mask now playing with fate.,1233305355813191681,kingnivin,
2020-02-28 07:49:57+00:00,Mask on ! ,1233298277967126528,AdammaOsman,
2020-02-28 01:46:05+00:00,Hairstylist jeff_jchy wearing LOOKA prism mask with DEPRESSION 龙争虎斗 oversized tee 🚧available in store at @SectsShop #orchardgateway 04-14 #singapore &amp; online at… https://www.instagram.com/p/B9F7VnwBU9o/?igshid=jaqgkzdismyb,1233206705661542401,SectsShop,
2020-02-27 13:16:11+00:00,need to put a face mask on need to put a face mask on need to put a face mask on need to put a face mask on need to put a face mask on,1233017989244407808,jtris_,
2020-02-27 12:14:41+00:00,Massive superiority complex building over the rest of Asia. Population seems to have got over it. Almost no one on my train wearing a mask 😷 right now. Two weeks ago couldn’t move for them. 😷😷😷😷😷😷,1233002510870294533,AngMohMan,
2020-02-27 10:53:29+00:00,Omg I cannot breathe with the mask on hahaha,1232982078368567296,FlyingPig94,
2020-02-27 09:33:15+00:00,Just mask up – at The American Club,1232961887400128512,wce917,
2020-02-27 08:22:30+00:00,Made in Japan kids mask. You pay for what you get ! 一分钱一分货 ,1232944079094173696,MermanLee,
2020-02-27 07:41:57+00:00,COVID-19 Care Pack from Epic Gas Ltd. Surgical Mask Digital Thermometer Hand Sanitizer #Thankful #epicgas,1232933877141794818,bellejoietan,
2020-02-27 05:45:57+00:00,I have like 4 masks. Haven’t used them yet. No mask unless I become ill myself. I keep reading conflicting things on the efficacy of the masks.,1232904685259907073,hanchicago,
2020-02-27 04:54:20+00:00,You’re welcome anytime. Bring a mask though... ,1232891693210275845,Vonbraun01,
2020-02-27 04:49:41+00:00,medical mask stays on during sex,1232890525742592001,flaming__cheeto,
2020-02-27 01:53:45+00:00,"The Mask, Mad Max Fury Road, Batman 1989, Spider-Man 2. ",1232846247704195074,SirDankThe2nd,
2020-02-26 23:41:53+00:00,2020 Don’t get on a bus with strangers without your surgical mask,1232813061339090944,shaunymacattack,
2020-02-26 12:24:29+00:00,"I would have tapped on the desire or pain points of the target audience to better utilize the budget. After all, you’re not a mask or anything highly desired. #advertisingsg – at Hong Lim Park",1232642590693945344,rockyfu,
2020-02-26 03:46:44+00:00,No mask shortage. #coronavirus #facemask #covid19 @Singapore https://www.instagram.com/p/B9A_j0WlsnR/?igshid=jo5kb0ab3am3,1232512293616963585,AskTimWade,
