Datetime,Text,TweetID,username,geo
2020-03-31 23:56:13+00:00,"“The bill would give C$2,000 a month for the next four months for people who lost their job because of Covid-19.” (@BBCWorld) Canada’s #COVID19 Stimulus package. $8k bro.",1245137857955545088,thegrumpytez,
2020-03-31 23:49:23+00:00,"Any schools using #Microsoft360 with students? Thoughts, opportunities, challenges? #homelearning #COVID19",1245136139616260096,megziannone,
2020-03-31 23:48:33+00:00,@nickang hey man. How are you in Berlin? Given the covid19 situation. Stay safe.,1245135928605028353,Melvyndotme,
2020-03-31 23:06:26+00:00,Akaun bank aku pon kena covid19 chor.,1245125328361492480,Raphaez12,
2020-03-31 21:40:15+00:00,Points to ponder... • #covıd19 #2020 #sarscov2 #lifegoals💯 #yoloswag #pandemic2020 #wisdom #pointstoponder #word #iphonex #nofilter #repost #randomthings #onfleek #truth💯 @Singapore https://www.instagram.com/p/B-adcKmB9Pf/?igshid=mnp6cfuivlt,1245103638701318146,ryo741,
2020-03-31 18:58:27+00:00,Another effect of covid-19 being fatal to older members of society is that we lose the wisdom and experience of a generation.,1245062921639477249,eviltofu,
2020-03-31 18:37:00+00:00,Ni lagi heboh ni penyakit nama nya covid-19 . Asal nya ni dari wuhan. Cek di gmaps Wuhan itu di China ya. Si covid-19 ini udah termasuk pandemi. Pandemi kalau cek di google arti nya itu wabah penyakit global. Menurut World Health Organization (WHO) .,1245057523574378497,RenaldAgeng,
2020-03-31 16:20:32+00:00,What is “April’s fool” when you have COVID19!,1245023180852301824,dasxtej,
2020-03-31 16:11:53+00:00,Seandainya covid-19 hanya sebuah kejadian april mop🥺,1245021003865980928,meisymrclla,
2020-03-31 16:11:11+00:00,Was supposed to fly to Tampa for #wrestlemania today but #covid19 happened. Nobody is gonna stop me from my #staycation ! #mbs 💰#marinabaysands #marinabaysandshotel #stuckinSingapore #singapore @Marina Bay Singapore https://www.instagram.com/p/B-Z3x8kJ8KI/?igshid=n3v2untqoz0o,1245020826719506434,sharonlee25,
2020-03-31 16:09:16+00:00,"#Corona Virus is spreading around the world but everyone is focusing on India. A huge populated country having more than 130 billion people with different cultures/religion/caste. From today morning, #NizamuddinMarkaz is trending because of #COVID19.",1245020344680759297,wajidachalpuri,
2020-03-31 15:47:05+00:00,Just gonna enjoy my current life I guess but fuck Covid19 man.. for ruining meetups and etc with my friends and all ..,1245014761948905472,uhhhthomson,
2020-03-31 15:42:13+00:00,"Well done @AnnuarMusa. Pi la. Bagi semua Bangsa Bangsa UMNO mampos ngan covid-19 ni. Kalau memang sayang nyawa diorang, otak mesti dah cakap Tak boleh ada bazaar this year. Tapi Tak nak. Bagus. ",1245013537551822849,edwinisdenim,
2020-03-31 15:39:29+00:00,contact lens aku pon dari awal bulan 3. tapi alhamdulillah takde simptom covid19. but now dduk rumah ni dah tak pakai dah. hm nak kena tukar jgk ke mcm mana 😂 kedai semua tutup tak sempat nak beli baru utk naik cuti nnt 😬 ,1245012851606970369,zuhyrazack,
2020-03-31 15:36:52+00:00,Ku gabut gaissss Selama dirumah ngapain aja ?? #dirumahaja #COVID19 #coronavirus,1245012191415238656,Nopitasari_dly,
2020-03-31 15:34:22+00:00,😢 #COVID19 #pandemic #coronavirus #sgunited #WeWillGetThroughThis,1245011565109108736,TJ_Yeo,
2020-03-31 15:25:03+00:00,Covid-19 industry impact: LIVE - Mobile World Live ,1245009219515871233,MhManto,
2020-03-31 15:21:28+00:00,"47 new COVID-19 cases in Singapore, new cluster identified at dormitory in Toh Guan ",1245008318810058759,lili_eyebags,
2020-03-31 14:42:27+00:00,WFH nights be like... . . . 🍚🍚🍚 . . . #singapore #workfromhome #wfh #wfhlife #dinnerathome #stayhome #covid19 #lotusrootssoup #thankyoumama #mustbuyunwashedlotusroots #sgunited #singaporejiayou @Singapore https://www.instagram.com/p/B-ZtoQSnnfM/?igshid=uzqotet5sh1i,1244998496366690304,gohsiokpeng,
2020-03-31 14:40:06+00:00,I cant see the way out covid- 19 settle up other 14dys. But i keep prying,1244997906005819397,fadhilahhusna12,
2020-03-31 14:36:51+00:00,"As a Muslim find it disgraceful whn even the Holy Kabbah guardians,#Saudi govt, mufti &amp; all have suspended congregational prayers, events incl. Suspenion of umrah;likely Haji too if Covid-19 persists. All irresponsible pple causin deaths, spread virus agst social Resp. Of Islam",1244997088544350208,KassimARah,
2020-03-31 13:58:14+00:00,The most #coronavirus #COVID19 #StayAtHome – at Crescent Bay Suites CBS (official),1244987369473937409,MichelNixs,
2020-03-31 13:53:15+00:00,"Thanks MKN, tiap hari msg ingatkan saya. Takdelah sunyi sgt hidup ni. #StayAtHome #stayinstaysafe #MKN #COVID19 ",1244986116874231808,adda2644,
2020-03-31 13:40:05+00:00,Bersama menyampaikan bantuan kepada keluarga tidak berkemampuan dan terjejas akibat Covid-19. @Pekan Nanas https://www.instagram.com/p/B-Zmfg-pXNnisu74pBoatzYzijTySsYymzaSF40/?igshid=1qrjre1pcr7x6,1244982803823054849,razalizaidin,
2020-03-31 13:31:02+00:00,Hallo Sahabat DAIRA👋🏻👋🏻 Dalam rangka mendukung Pencegahan penularan COVID-19 DAIRA Skin Care menyumbangkan *100 Hand Sanitizer GRATIS* Kepada Sahabat DAIRA dan Masyarakat sekitar. Bagi Sahabat DAIRA yang berminat… https://www.instagram.com/p/B-T_ylkFdsm/?igshid=j7gch2dr1v2d,1244980527045791744,DAIRA21312544,
2020-03-31 13:16:18+00:00,"Bermula 1 April 2020, Endau's Kitchen akan beroperasi dari jam 8pagi hingga 3petang untuk tempahan yang dibawa pulang sahaja termasuklah Foodpanda & Grabfood. Sekian untuk makluman & sentiasa patuhi arahan kerajaan di dalam menangani Covid 19 untuk kebaikan kita bersama. – at Endau's Kitchen",1244976819498967041,endauskitchen,
2020-03-31 13:00:23+00:00,Logo Distancing @Tokyo2020 @Mastercard @LinkedIn @Starbucks #Coronavirus #Covid19 #SocialDistancing,1244972812269285376,EricssenWen,
2020-03-31 12:54:35+00:00,"On having gatherings at home, Health Minister Gan Kim Yong: ""It is not a question of whether you can or you cannot (do these things), the key question is whether you need to have these activities."" #Singapore #covid19",1244971351787442179,jcwroe,
2020-03-31 12:46:35+00:00,"@DGHisham tolonglah saya merayu, bertegas dgn rakyat dalam isu PKP dan masa yg sama, bertegas lah dgn menteri2 yg memandai2 hingga menjadi bahan tawa dunia. Menteri2 ni bukan di atas D.G dlm membuat keputusan SOP. @KKMPutrajaya #COVID19 #HapusCOVID19 @jezlai @arifsetia2013d",1244969340480315395,oscarjoshua69,
2020-03-31 12:25:35+00:00,@DGHisham You r the shining light n a ray of hope. The world can see it. Unfortunately some fellow Malaysians are so selfish n do everything to disrupt the MCO(PKP). My biggest tribute to you n your team at @KKMPutrajaya #COVID19 #FightCOVID19 #FlattenTheCurve,1244964055535595520,oscarjoshua69,
2020-03-31 12:25:26+00:00,We ended our emphatic semester with a BANG! 🌟Fabulous guest lecture from Dr Mara McAdam &amp; Jennifer Davis of @dukenus on mindfulness and how to increase #ATTENTION from better learning. Zoom class photos for memory keepsake during #COVID19 #eLearning #StayHomeSaveLives take care – at NUS Science Library,1244964016503451648,chemFunMan,
2020-03-31 12:16:44+00:00,"Berdasarkan model hitung2an nya, kalau Pemerintah membiarkan strateginya, kita bisa kehilangan minimal 2.5 juta nyawa Dalam waktu singkat, ekonomi hancur - talented people juga lenyap.. Mau Jadi apa? . #covid19 ",1244961828192436229,solomusafir,
2020-03-31 12:13:35+00:00,"Fatal banget Covid-19 di Indonesia, merengut nyawa secara cepat, Dan korbannya anak bangsa Yang berbakat .. ",1244961034571354112,solomusafir,
2020-03-31 12:12:47+00:00,"Dua hari sekali beb dia check location. Kau tengok serious tak serious gov sg handle this covid 19 punya issue. aku bukan kena quarantine ok, cuma kerja sini and kena stay sini for this period. so dia akan check daily. fuh. ",1244960833521602560,myrulfauzi,
2020-03-31 12:04:44+00:00,"As we start start distancing from one another,we are spending more time in front of the computer. The more I stay in,the more I question when this will end.But when this is all over,a holiday with family sounds like a very good idea. Get well soon world. #Covid19 you suck 🤬 ",1244958806032838658,kaori_emiko,
2020-03-31 12:02:56+00:00,Still #openedforbusiness #COVID19 #shutdownsg,1244958354453049344,MyChauffeurV,
2020-03-31 12:01:33+00:00,#plankchallenge #plankthecurve challenge from @_jimmy_mckinney @sportscardiobc &amp; @drMSupervia accepted! Keep fit indoors #sgunited #wecangetthroughthis #COVID19 ,1244958006824951809,TJ_Yeo,
2020-03-31 11:58:44+00:00,"4 pilihan dong jadinya, yg jd relawan malah bukan masuk pilihan 1-3, jd tak penting jd relawan covid 19",1244957298159529985,siputrabatubara,
2020-03-31 11:55:33+00:00,We have so many more years coming after untuk buka bazar ramadhan. Please ban any activities that lead to mass gatherings of people. WE NEED TO FLATTEN THE COVID-19 CURVE. ,1244956494585417729,cookiejimz,
2020-03-31 11:52:30+00:00,"Individuals can apply to banks & insurers to defer repayment of property loans, as well as premium payments for life & health insurance plans, as part of a package measures to ease financial strain arising from the Covid-19 outbreak. https://www.straitstimes.com/business/banking/covid-19-individuals-can-apply-to-defer-property-loan-insurance-premium-payments?utm_medium=Social&amp;utm_campaign=STFB&amp;utm_source=Facebook#Echobox=1585652281 #MAS #SME #COVID19",1244955730077036544,HarryC_Realtor,
2020-03-31 11:32:07+00:00,@Medtronic is publicly sharing the design specifications of its Puritan Bennett 560 (PB 560) #ventilator amid a global shortage of the devices amid the #coronavirus pandemic. #COVID19 #medtech #medicaldevice,1244950600711680003,GabrielSim,
2020-03-31 11:09:03+00:00,bro this covid-19 really is a pain in the butt,1244944792410148864,pavethraxx,
2020-03-31 11:06:11+00:00,dinner tonight!!! #crcheers #quircsingapore #homemademeals #staysafeandhealthy #covid19 @Evania https://www.instagram.com/p/B-ZU4MFHhrz/?igshid=1k1xuw2d8jezn,1244944070948126720,QUIRC_Singapore,
2020-03-31 11:01:39+00:00,MCO 第14天…🤗 今天我家最高领导人的领导人又放假了……所以今晚的晚餐完全不关我最高领导人的领导人的事……😁😁 出门补货顺便买我最爱的鸡饭…😍😍❤️❤️😋😋 #鸡饭 #外卖 #chicken #chickenrice #lockdown #mco #covid19 #coronavirus #stayathome #day14 #love… https://www.instagram.com/p/B-ZUXG2A8ofZ-dYuxmELcBRVRR1cqLwjiUNElA0/?igshid=dhfgml3thfhw,1244942931296911360,Phoenix889,
2020-03-31 10:51:58+00:00,"We are staying home for our loved ones and for everyone fighting hard to contain #COVID19. From today till 12 April, the office will be closed so don't come knocking! Stay safe and keep well, #DB30 – at Drama Box",1244940495572176896,dramabox,
2020-03-31 10:21:26+00:00,"Central Park was my favourite spot in New York! Now it is a temporary field hospital because of #COVID19. I was happily there just a month ago and nobody was thinking that COVID19 will hurt NY! Now it is estimated that 200,000 Americans could die because of #COVID19 😔😩 ",1244932810630033413,berraksismann,
2020-03-31 10:12:42+00:00,Why Germany Has a Low Coronavirus Death Rate | Time https://time.com/5812555/germany-coronavirus-deaths/ #coronavirus #COVID19 #Germany,1244930614240792576,AuggieAnthuvan,
2020-03-31 10:01:13+00:00,I wanna be the first person in sg to go for clinical trials testing COVID 19 vaccine,1244927723211862016,SimpMasterrr,
2020-03-31 09:57:42+00:00,During COVID19 the DIVORCE cases are on a rise. More than hilarious it’s is serious issue and concern what people want from each other and how much they find it intolerable to stay with the each other 24X7 🤷‍♀️ the virus will not only determine health but also relationships 🤷‍♀️,1244926837249036288,Hi_Dalvinder,
2020-03-31 09:33:15+00:00,"Menghadiri Sidang Khas Majlis Keselamatan Negara: Pengurusan COVID-19 yang dipengerusikan oleh Perdana Menteri Malaysia di Putrajaya. InsyaAllah sekiranya semua arahan dipatuhi oleh setiap rakyat, kita mampu untuk menghentikan penularan wabak ini sesegera mungkin. ",1244920686428053504,Hasni_Johor,
2020-03-31 09:10:27+00:00,Mynmar only 14 get infectious Covid-19 in southeast asia,1244914946854420482,creep9001,
2020-03-31 08:50:27+00:00,"Covid-19 pandemic will erase gains, may see 11 million driven into poverty in East Asia and Pacific: World Bank ",1244909914377478144,_rodahidup,
2020-03-31 08:30:22+00:00,"The COVID-19 makes me wanna go home, but I worry about the situation of the airplane. It is so hard for students studying aboard. Hope everyone goes well! – at Block E4 @NUS",1244904858152349696,WangZihui7,
2020-03-31 08:24:47+00:00,#curfewsl #Covid_19 මේ දවස් වල ඔයාලා මොකද කරන්නේ?🙄,1244903454247550977,ShanadiJ,
2020-03-31 08:24:33+00:00,Hopeful seeing @Berkmic literally walking #resilience knowledge into critical response efforts in #NYC. My thoughts are with you &amp; all the #COVID19 responders. Stay safe &amp; healthy my friend. Looking forward to connecting your experience with @GlobalResCities. @nycgov @dzarrilli,1244903396336758785,LaurenSorkin18,
2020-03-31 08:02:31+00:00,"Zoom Meeting, kurangi paparan Covid-19 @Cabang Batam PT SUCOFINDO (Persero) https://www.instagram.com/p/B-Y_3DlBBUcxIr-zd6ll03B5uNjwIjUBp-qdd40/?igshid=kqr7j1wx7559",1244897851030876161,nazlirawi,
2020-03-31 07:38:59+00:00,Dpt member yg on time bayar HUTANG even kita sendiri tau dia baru dpt gaji yg sikit + kena unpaid sbb covid19. may Allah ease ur day n shower rezeki more sebab amanah. Rare betul member mcm ni nowadays 🤲🏻.,1244891930313371648,sufxender,
2020-03-31 07:26:58+00:00,a very meaningful project. Although there is a burst of interest now due to #COVID19 however I encourage continuing to support research into the other diseases too. Very interesting and out of the box solutions have been discovered. ,1244888903917563905,jasonyzs88,
2020-03-31 07:17:20+00:00,Nice article highlighting the main features of antibody tests and how they differ from other types of diagnostics #COVID19 #TestEveryone,1244886482294149120,gerald_goh,
